latitude,longitude
35.0843859,-106.650422
39.2051077,-76.6527456
27.9655722,-82.7958948
46.28042000000001,-119.2751996
40.7127753,-74.0059728
32.7766642,-96.79698789999999
39.2903848,-76.6121893
37.33874,-121.8852525
43.15657789999999,-77.6088465
40.7127753,-74.0059728
37.33874,-121.8852525
38.8942786,-77.43109919999999
33.0198431,-96.6988856
47.6061389,-122.3328481
42.3736158,-71.10973349999999
40.735657,-74.1723667
42.3736158,-71.10973349999999
37.3860517,-122.0838511
37.7749295,-122.4194155
39.7392358,-104.990251
47.6061389,-122.3328481
32.7766642,-96.79698789999999
41.8781136,-87.6297982
38.2526647,-85.7584557
38.9695545,-77.3860976
42.3736158,-71.10973349999999
45.5201113,-122.989848
42.2625932,-71.8022934
41.3497456,-72.0790717
27.9655722,-82.7958948
46.28042000000001,-119.2751996
42.331427,-83.0457538
42.3736158,-71.10973349999999
37.36883,-122.0363496
42.6791832,-70.8411558
37.33874,-121.8852525
34.0555693,-117.1825381
42.4792618,-71.1522765
37.5485396,-121.988583
40.5884373,-73.65790799999999
37.7749295,-122.4194155
42.3459271,-71.5522874
37.7749295,-122.4194155
41.0414857,-74.129032
41.8781136,-87.6297982
38.9071923,-77.0368707
47.6101497,-122.2015159
40.1672068,-105.1019275
39.7092262,-84.06326849999999
40.6936488,-89.5889864
26.1224386,-80.13731740000001
42.3600825,-71.0588801
34.7303688,-86.5861037
41.1264849,-73.71401949999999
32.715738,-117.1610838
35.0843859,-106.650422
37.7749295,-122.4194155
38.6270025,-90.19940419999999
39.2903848,-76.6121893
32.7766642,-96.79698789999999
39.1031182,-84.5120196
40.7127753,-74.0059728
37.4418834,-122.1430195
46.28042000000001,-119.2751996
40.5184013,-80.1667247
42.279286,-71.4161565
33.748752,-84.38768449999999
42.3600825,-71.0588801
39.9525839,-75.1652215
45.6280277,-122.673865
39.768403,-86.158068
42.2586342,-87.840625
38.7131073,-90.42984009999999
38.0293059,-78.47667810000002
40.44062479999999,-79.9958864
45.6280277,-122.673865
37.3860517,-122.0838511
42.3736158,-71.10973349999999
38.8942786,-77.43109919999999
37.33874,-121.8852525
37.7749295,-122.4194155
40.2731911,-76.8867008
39.0992752,-76.8483061
41.8781136,-87.6297982
38.8799697,-77.1067698
47.2528768,-122.4442906
33.0198431,-96.6988856
37.33874,-121.8852525
25.7616798,-80.1917902
34.7303688,-86.5861037
29.95106579999999,-90.0715323
37.7749295,-122.4194155
33.748752,-84.38768449999999
38.9340002,-76.8966397
38.2772663,-76.42295
38.8485264,-76.9240422
38.9338676,-77.1772604
38.71887160000001,-77.15426839999999
43.0389025,-87.9064736
38.99066570000001,-77.026088
40.7127753,-74.0059728
